
Consulta de lançamentos da empresa 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Transação;Chave;Data;Débito;*;CC Débito;Participante D;Crédito;* ;CC Crédito;Participante C;Valor;Tipo Fcont;Hist;Nº docto;Complemento;Contabilização;Status transação;Lançamento extemporâneo

298524;13408984;15/01/2025;6033;;;;2380;;;;          0.01;Não exporta;0;;RENTAB.INVEST FACILCRED* 4016175;Ambas;SIM;
298689;13410636;23/01/2025;6033;;;;2380;;;;          0.01;Não exporta;0;;RENTAB.INVEST FACILCRED* 8496269;Ambas;SIM;
298822;13411969;30/01/2025;6033;;;;2380;;;;          0.01;Não exporta;0;;RENTAB.INVEST FACILCRED* 1950689;Ambas;SIM;
298523;13408976;15/01/2025;6033;;;;2380;;;;          0.02;Não exporta;0;;RENTAB.INVEST FACILCRED* 3195193;Ambas;SIM;
298362;13407368;08/01/2025;6033;;;;2380;;;;          0.03;Não exporta;0;;RENTAB.INVEST FACILCRED* 8089096;Ambas;SIM;
298721;13410954;27/01/2025;6033;;;;2380;;;;          0.03;Não exporta;0;;RENTAB.INVEST FACILCRED* 8496269;Ambas;SIM;
298722;13410962;27/01/2025;6033;;;;2380;;;;          0.03;Não exporta;0;;RENTAB.INVEST FACILCRED* 9746636;Ambas;SIM;
298821;13411950;30/01/2025;6033;;;;2380;;;;          0.03;Não exporta;0;;RENTAB.INVEST FACILCRED* 1234748;Ambas;SIM;
298688;13410628;23/01/2025;6033;;;;2380;;;;          0.04;Não exporta;0;;RENTAB.INVEST FACILCRED* 7805053;Ambas;SIM;
298422;13407961;10/01/2025;6033;;;;2380;;;;          0.05;Não exporta;0;;RENTAB.INVEST FACILCRED* 8089096;Ambas;SIM;
298371;13407457;09/01/2025;6033;;;;2380;;;;          0.16;Não exporta;0;;RENTAB.INVEST FACILCRED* 8089096;Ambas;SIM;
298525;13408992;15/01/2025;6033;;;;2380;;;;          0.16;Não exporta;0;;RENTAB.INVEST FACILCRED* 8089096;Ambas;SIM;
297845;13402218;10/01/2025;3484;*;;;6386;;;;          0.17;Não exporta;0;;JUROS SALDO UTILIZ ATE LIMITE 000000;Ambas;SIM;
298339;13407139;07/01/2025;6033;;;;2380;;;;          0.25;Não exporta;0;;RENTAB.INVEST FACILCRED* 6937196;Ambas;SIM;
298361;13407350;08/01/2025;6033;;;;2380;;;;          0.28;Não exporta;0;;RENTAB.INVEST FACILCRED* 6937196;Ambas;SIM;
297628;13400053;10/01/2025;5576;*;;;78;;;;          0.51;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297830;13402072;31/01/2025;5576;*;;;78;;;;          0.51;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324320;13730183;28/01/2025;;;;;2445;;;;          0.80;Não exporta;1872;84701;84701 - CONEMANG CONEXOES E MANG. HIDR. LTDA;Ambas;SIM;
298398;13407724;10/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
298501;13408755;14/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
