
Consulta movimento de entradas - 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Chave;Fornecedor;Nome fornecedor;UF;Data entrada;Data emissão;Documento;CFOP;Modelo;Espécie;Série;Condições;Emitente;Valor contábil;Dif. de alíq.;FEM DIFA;Base de ICMS;Alíq. de ICMS;Valor do ICMS;ICMS isentas;ICMS outras;ICMS desonerado;Base de IPI;Valor do IPI;IPI isentos;IPI outros;Base S.T.;Alíq. de S.T.;Valor S.T.;Retenção PIS;Retenção Cofins;Retenção CSLL;Retenção de IR;Retenção de INSS;Débito;Crédito;Cód. obs.;Observação;Desconto;Chave NF-e/CT-e/NFC-e/BP-e;Outros Impostos;ICMS retido;Valor do ICMS de antecipação;Pis Lucro real;Cofins lucro real;Valor de frete;Valor de seguro;Valor de outras despesas;Valor do FCP da UF de destino;Valor de ICMS para a UF de destino;Valor de ICMS para a UF do Remetente;Código de retenção PIS;Código de retenção Cofins;Código de retenção CSLL;Código de retenção IR;Código de retenção INSS;Lançamento conferido;FCP S.T.;Materiais próprios;Materiais de terceiros;Subempreitadas;Valor retenção não efetuada;Valor ret. destacada das subemp.;CEI Obra;CNO;Tipo de serviço;Receita 15 anos;Valor 15 anos;Receita 20 anos;Valor 20 anos;Receita 25 anos;Valor 25 anos;Valor retenção adic. não efetuada;Usuário inclusão;Data inclusão;Hora inclusão;Tipo inclusão;Usuário alteração;Data alteração;Hora alteração;Tipo alteração;Situação do documento

1;41575;Oxigenio Rondonopolis Comercio de Gases Ltda;MT;04/01/2025;04/01/2025;21491;2.920-000;55;NFe;1;Outras;Próprio;20000;0.00;0,00;0;0;0;0;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;PEDIDO 16150|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AVENIDA DOS TAMOIO;0;'50250127479311000131550010000214911000085659;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
2;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21525;1.904-000;55;NFe;1;Outras;Próprio;4207;0.00;0,00;4207;17;715.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2641 - Veiculo: QAQ2824|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215251000085985;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
3;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21529;1.904-000;55;NFe;1;Outras;Próprio;4088;0.00;0,00;4088;17;694.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2639 - Veiculo: REW9E69|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215291000086026;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
4;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21530;1.904-000;55;NFe;1;Outras;Próprio;750;0.00;0,00;750;17;127.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2630 - Veiculo: REW9E69|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215301000086035;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
5;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21531;1.904-000;55;NFe;1;Outras;Próprio;4122;0.00;0,00;4122;17;700.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2633 - Veiculo: RWA8A65|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215311000086040;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
6;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21532;1.904-000;55;NFe;1;Outras;Próprio;315;0.00;0,00;315;17;53.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2645 - Veiculo: KEZ4154|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215321000086056;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
7;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21533;1.904-000;55;NFe;1;Outras;Próprio;5642;0.00;0,00;5642;17;959.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2642 - Veiculo: RWI1A38|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215331000086061;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
8;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21534;1.904-000;55;NFe;1;Outras;Próprio;30;0.00;0,00;30;17;5.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2637 - Veiculo: QAF9E13|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215341000086077;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
9;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21535;1.904-000;55;NFe;1;Outras;Próprio;104;0.00;0,00;104;17;17.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2640 - Veiculo: QHC3150|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215351000086082;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
10;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21536;1.904-000;55;NFe;1;Outras;Próprio;105;0.00;0,00;105;17;17.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2644 - Veiculo: QHC3150|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215361000086098;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
11;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21537;1.904-000;55;NFe;1;Outras;Próprio;126;0.00;0,00;126;17;21.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2617 - Veiculo: QAN7552|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215371000086109;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
12;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21538;1.904-000;55;NFe;1;Outras;Próprio;174;0.00;0,00;174;17;29.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2646 - Veiculo: QAN7552|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215381000086114;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
13;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21539;1.904-000;55;NFe;1;Outras;Próprio;2438;0.00;0,00;2438;17;414.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2635 - Veiculo: HTN5596|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215391000086120;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
14;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21540;1.904-000;55;NFe;1;Outras;Próprio;780;0.00;0,00;780;17;132.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2643 - Veiculo: QAF9E13|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215401000086139;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
15;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21541;1.904-000;55;NFe;1;Outras;Próprio;5228;0.00;0,00;5228;17;888.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2632 - Veiculo: OOG8592|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215411000086144;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
