
Consulta movimento de saídas - 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Chave;Cliente;Nome cliente;UF;Data emissão;Documento;até documento;CFOP;Modelo;Espécie;Série;Condições;Emitente;Valor contábil;Base de ICMS;Alíq. de ICMS;Valor do ICMS;ICMS isentas;Outras ICMS;ICMS desonerado;Base de IPI;Valor do IPI;IPI isentos;IPI outros;Base S.T.;Alíq. S.T.;Valor S.T.;Cód. Receita PIS;Retenção PIS;Cód. Receita Cofins;Retenção Cofins;Cód. Receita CSLL;Ret. Contrib. Social;Cód. Receita IR;Retenção IR;Débito;Crédito;Cód. obs.;Observação;Cidade coleta merc.;Descrição;Desconto;Chave NF-e/CT-e/NFC-e/BP-e;Outros Impostos;PIS lucro real;Cofins lucro real;Número de série do MRC;Número da máquina;Valor de frete;Valor de seguro;Valor de outras despesas;Valor do FCP da UF de destino;Valor de ICMS para a UF de destino;Valor de ICMS para a UF do Remetente;Lançamento conferido;FCP S.T.;Materiais próprios;Materiais de terceiros;Subempreitadas;Valor retenção não efetuada;Valor ret. destacada das subemp.;CEI Obra;CNO;Tipo de serviço;Receita 15 anos;Valor 15 anos;Receita 20 anos;Valor 20 anos;Receita 25 anos;Valor 25 anos;Valor retenção adic. não efetuada;Base ICMS Concomitante;Alíquota ICMS Concomitante;Valor ICMS Concomitante;Usuário inclusão;Data inclusão;Hora inclusão;Tipo inclusão;Usuário alteração;Data alteração;Hora alteração;Tipo alteração;Situação do documento

1;9304276;LCSA - MOTORES ELETRICOS LTDA;MS;27/01/2025;21932;21932;5.101-000;55;NFe;1;Prazo;Próprio;360;360;17;61.2;0;0;0;0;0;0;360;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88085/1 Venc. 24-02-2025 Valor 360.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACA;0;;0;'50250127479311000131550010000219321000090179;0;4.93;22.71; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:06;Troca global;00 - Documento regular
2;9288543;ABC COMERCIO DE OXIGENIO EIRELI;MS;27/01/2025;21933;21933;5.101-000;55;NFe;1;Prazo;Próprio;8586;8586;17;1459.62;0;0;0;0;0;0;8586;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88087/1 Venc. 24-02-2025 Valor 8586.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTAC;0;;0;'50250127479311000131550010000219331000090184;0;117.59;541.61; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
3;9351172;AGROFERRAGENS ANTONIO JOAO LTDA;MS;27/01/2025;21934;21934;5.101-000;55;NFe;1;Prazo;Próprio;1190;1190;17;202.3;0;0;0;0;0;0;1190;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88093/1 Venc. 26-02-2025 Valor 1190.00|Local de Entrega: AV EUGENIO PENZO|Valor Aproximado dos Tributos R$374.26 (31.45%) Fonte: IBPT||;0;;0;'50250127479311000131550010000219341000090190;0;16.3;75.07; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
4;9288543;ABC COMERCIO DE OXIGENIO EIRELI;MS;27/01/2025;21935;21935;5.921-000;55;NFe;1;Outras;Próprio;268800;0;0;0;0;268800;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;(REF A NF 40303 E 40302)|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AV GUA;0;;0;'50250127479311000131550010000219351000090200;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:09;Troca global;00 - Documento regular
5;9288543;ABC COMERCIO DE OXIGENIO EIRELI;MS;27/01/2025;21936;21936;5.920-000;55;NFe;1;Outras;Próprio;20000;0;0;0;0;20000;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local Aplicado: AV GUAICURUS. 1097 - - JARDIM IT;0;;0;'50250127479311000131550010000219361000090216;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:09;Troca global;00 - Documento regular
6;9360073;MUNICIPIO DE POXOREO;MT;27/01/2025;21937;21937;6.101-000;55;NFe;1;Prazo;Próprio;7245;7245;12;869.4;0;0;0;0;0;0;7245;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;NE 38822 NE 38816 NE 38875 NE 38599 NE 38890 NE 38885 NE 38574 NE 38834|Titulos: Nro 88096/1 Venc. 24-02-2025 Valor 7245.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS;0;;0;'50250127479311000131550010000219371000090221;0;105.18;484.54; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
7;9303406;WAGGNER GOMES PALHARINI;MS;27/01/2025;21938;21938;5.101-000;55;NFe;1;Prazo;Próprio;500;500;17;85;0;0;0;0;0;0;500;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88099/1 Venc. 27-01-2025 Valor 500.00|Local de Entrega: SANTA FE. 555|Valor Aproximado dos Tributos R$157.25 (31.45%) Fonte: IBPT||;0;;0;'50250127479311000131550010000219381000090237;0;6.85;31.54; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
8;9360077;OXIGENIO RONDONOPOLIS COMERCIO DE GASES LTDA;MT;27/01/2025;21939;21939;6.920-000;55;NFe;1;Outras;Próprio;21800;0;0;0;0;21800;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;CILINDROS RETIRADOS EM RONDONOPOLIS A SER ENTRGUES EM CUIABA|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGU;0;;0;'50250127479311000131550010000219391000090242;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:09;Troca global;00 - Documento regular
9;9307679;AGRICOLA E TRANSPORTE SANTIN LTDA;MS;28/01/2025;21940;21940;5.101-000;55;NFe;1;Prazo;Próprio;380;380;17;64.6;0;0;0;0;0;0;380;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88130/1 Venc. 25-02-2025 Valor 380.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACA;0;;0;'50250127479311000131550010000219401000090251;0;5.2;23.97; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
